ID;TITULO;PRECIO(€);DIAS;INICIO;FIN;URL;CATEGORIA;NOMBRE-INSTALACION;LUGAR;NOMBRE-CALLE;NUMERO;DISTRITO;BARRIO;CODIGO-POSTAL;TIPO;AUDIENCIA
12102925;Autoprotección para mujeres;2;L,M,X,J,V,S,D;08/10/2023;21/06/2024;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0460f51909caa810VgnVCM1000001d4a900aRCRD;Taller;Centro Deportivo Municipal Ángel Nieto;CALLE;PAYASO FOFO;7;PUENTE DE VALLECAS;PALOMERAS BAJAS;28018;/contenido/actividades/ActividadesDeportivas;Adultos
12140854;Carrera Go Fit;5;D;05/11/2023;05/11/2023;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1bb3adb946b6b810VgnVCM1000001d4a900aRCRD;Carrera;Centro Deportivo Municipal Estadio de Atletismo Vallehermoso;CALLE;MELQUIADES ALVAREZ;19;CHAMBERI;VALLEHERMOSO;28003;/contenido/actividades/ActividadesDeportivas/CarrerasMaratones;Todos
11441198;Ciclismo por Madrid;0;X,S,D;01/09/2023;30/06/2024;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=db40e3f0c91ea710VgnVCM2000001f4a900aRCRD;Ciclismo;Exterior;;;;;;;/contenido/actividades/ActividadesDeportivas/Ciclismo;Todos
12151373;Clinic Voleibol 2023;0;J;09/11/2023;09/11/2023;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=72024880fc49b810VgnVCM2000001f4a900aRCRD;Voleibol;Centro Deportivo Chamartín;AVENIDA;PÍO XII;2;CHAMARTIN;NUEVA ESPAÑA;28016;/contenido/actividades/ActividadesDeportivas/Voleibol;Niños
11234187;Correr por Madrid;0;L,M,X,J;01/09/2023;30/06/2024;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=712a8daaa32d4710VgnVCM1000001d4a900aRCRD;Carrera;Exterior;;;;;;;/contenido/actividades/ActividadesDeportivas;Adultos
12128700;Madrid Horse Week;15;L,M,X,J,V,S,D;24/11/2023;26/11/2023;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=929134a18291b810VgnVCM1000001d4a900aRCRD;Hipica;IFEMA MADRID, Institución Ferial de Madrid;AVENIDA;PARTENON;5;BARAJAS;CORRALEJOS;28042;/contenido/actividades/ActividadesDeportivas/Hipica;Adultos
11445886;Marcha nórdica;11;L,M,X,J;01/09/2023;30/06/2024;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=452bf7504d6fa710VgnVCM1000001d4a900aRCRD;Carrera;Exterior;;;;;;;/contenido/actividades/ActividadesDeportivas;Adultos
11748362;Piragüismo por Madrid;11;V,S,D;01/09/2023;31/07/2024;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a73b16daa0b2810VgnVCM1000001d4a900aRCRD;Piragüismo;Parque Juan Carlos I;GLORIETA;S.A.R. DON JUAN DE BORBON Y BATTEMBERG;5;BARAJAS;CORRALEJOS;28042;/contenido/actividades/ActividadesDeportivas;Adultos
11445019;Triatlón por Madrid;11;V,S;01/09/2023;30/06/2024;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f7df3104e46fa710VgnVCM1000001d4a900aRCRD;Carrera;Centro Deportivo Municipal Cerro Almodóvar;CALLE;CERRO DE ALMODOVAR;9;VILLA DE VALLECAS;SANTA EUGENIA;28007;/contenido/actividades/ActividadesDeportivas/Ciclismo;Adultos
12149680;VII Carrera Vuela Contra la Violencia de Género;18;D;26/11/2023;26/11/2023;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1efb1b4f8af8b810VgnVCM2000001f4a900aRCRD;Carrera;Exterior;;;;;;;/contenido/actividades/ActividadesDeportivas/CarrerasMaratones;Adultos
12119377;Villaverde Activo - Taller de Zumba;0;L,M,X,J,V,S,D;02/10/2023;17/12/2023;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=69f057e8f60fa810VgnVCM2000001f4a900aRCRD;Taller;Distrito de Villaverde - Ayuntamiento de Madrid;;;;;;;/contenido/actividades/DanzaBaile;Todos
12119380;Villaverde Activo - Talleres de Calistenia, Parkour y Skate;0;L,M,X,J,V,S,D;02/10/2023;17/12/2023;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9b3157e8f60fa810VgnVCM2000001f4a900aRCRD;Taller;Distrito de Villaverde - Ayuntamiento de Madrid;;;;;;;/contenido/actividades/ActividadesDeportivas;Todos
12136658;XII Carrera Popular Madrid También Solidario;12;D;05/11/2023;05/11/2023;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7c7fff06dac4b810VgnVCM1000001d4a900aRCRD;Carrera;Parque Forestal de Valdebebas-Felipe VI;AVENIDA;LAS FUERZAS ARMADAS;11;HORTALEZA;VALDEFUENTES;28055;/contenido/actividades/ActividadesDeportivas/CarrerasMaratones;Todos
12142199;XIII Derbi de las Aficiones de Madrid;8;D;12/11/2023;12/11/2023;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=57533a6c1a07b810VgnVCM1000001d4a900aRCRD;Carrera;Exterior;CALLE;PADRE DAMIAN;;CHAMARTIN;;;/contenido/actividades/ActividadesDeportivas/CarrerasMaratones;Adultos
12144145;XV Carrera Ponle Freno;15;D;19/11/2023;19/11/2023;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0d3ca404a008b810VgnVCM1000001d4a900aRCRD;Carrera;Exterior;;;;;;;/contenido/actividades/ActividadesDeportivas/CarrerasMaratones;Todos
